Kód,Název,kampaně,Výrobce,Kód dodavatele,Sekce,Anotace,Popis,Parametry,Fotografie,Sazba DPH,cena bez DPH [Kč],cena s DPH [Kč],sleva [%],cena pro slevu,cena po slevě bez DPH [Kč],cena po slevě s DPH [Kč],skladem [ks],Dostupnost,záruka [měs.],Zobrazovat ve srovnávačích,cena za proklik [Kč],Kód EAN,Počet prodaných kusů,ID produktu,SEO Titulek,SEO Popis,Přílohy,Hmotnost,Šířka,Výška,Hloubka,Datum vytvoření,Viditelné - produkt,Viditelné - varianta,Varianta: Odstín BB,Varianta: Odstín tužka,Varianta: Odstín rtěnka 80408,Varianta: Odstín rtěnka 80409,Varianta: Dětský kartáček,Varianta: Kartáček ProDental,Varianta: Tužka na oči a obočí,Varianta: Rtěnka Cushion,Varianta: Tonální přípravek Cushion,Varianta: Tužka na obočí,Varianta: Ovocný balzám na rty,Varianta: Odstín pudru,Varianta: Počet kusů,Parametr: Akce,Parametr: Maximální koupitelný počet,Parametr: Min Limit,Parametr: Poměr základní,Parametr: Poměr ND,Parametr: Poměr D,Parametr: Typ vlasů,Parametr: Typ pleti,Parametr: Typ vložek,Parametr: Použití krému,Parametr: Vady pleti,Parametr: Objem,Parametr: Kusy,Parametr: Aktivní složky,Parametr: Neposílat do GEIS,Parametr: Emailový kurz,Parametr: Reálná hmotnost,Parametr: Pořadí v novinkách,Parametr: Doporučený věk,Parametr: Rádce s péčí o pleť,Parametr: Produktová řada,Parametr: Min Limit SK,Fotografie 1,Fotografie 2,Fotografie 3,Fotografie 4,Fotografie 5,Fotografie 6
61911,Denní vložky s extraktem aloe Nefritová svěžest,WMS,,,Zdraví,Spolehlivá ochrana a pocit komfortu. Obsahují přírodní bylinné extrakty . Eliminují zápach. Darují pocit svěžesti a komfortu.,<div><strong>Spolehlivá ochrana a pocit komfortu. Obsahují přírodní bylinné extrakty. Eliminují zápach. Darují pocit svěžesti a komfortu.</strong></div>,,,21,"133,06","161,00",0,"133,0579","133,0579",161,2003,,,Y,,6921336301057,22710,142,,,,"0,048",,,,01/01/2023,Y,,,,,,,,,,,,,,,,,20,,,,,,denní (intimky),,,,20,"Aloe,Máta peprná,Zelený čaj",,,,,,,Nefritová svěžest,20,https://www.kralovstvi-tiande.cz/data/photos/2023/11/p2280.jpeg,https://www.kralovstvi-tiande.cz/data/photos/2023/11/p2281.jpeg,,,,
61914,Dámské bylinné slipové vložky Nefritová svěžest,WMS,,,Zdraví,Ženské zdraví: každodenní ochrana.  Chcete se cítit komfortně a sebejistě každý den? S dámskými hygienickými vložkami „Nefritová svěžest“ pro každodenní použití je to snadné.,"<p dir=""ltr""><strong id=""docs-internal-guid-227a5f8b-7fff-39c7-0603-5ce8539c38ba"">Ženské zdraví: každodenní ochrana. Chcete se cítit komfortně a sebejistě každý den? S dámskými hygienickými vložkami „Nefritová svěžest“ pro každodenní použití je to snadné! Přesně kopírují pohyby vašeho těla, nekroutí se a nedeformují při nošení. Cokoliv budete dělat, intimka zůstane na svém místě. Dokonce i při intenzivním sportu.</strong></p>

<p> 
<p> </p>
</p>",,,21,"133,06","161,00",0,"133,0579","133,0579",161,908,,,Y,,6921336330781,17902,2025,,,,"0,049",,,,01/01/2023,Y,,,,,,,,,,,,,,,,,30,,,,,,denní (intimky),,,,20,"Hřebíček,Máta peprná,Zelený čaj",,,,,,,Nefritová svěžest,30,https://www.kralovstvi-tiande.cz/data/photos/2023/11/p2154.jpeg,https://www.kralovstvi-tiande.cz/data/photos/2023/11/p2155.png,,,,
61915,Dámské bylinné slipové vložky s anionty Nefritová svěžest,WMS,,,Zdraví/Vložky a intimní hygiena,"Ženské zdraví: každodenní ochrana s anionty.  Delikátní a něžné slipové vložky Nefritová svěžest vás spolehlivě ochrání před nepříjemným zápachem, pocitem diskomfortu a dodají závan svěžesti po celý den.","<div>
<p dir=""ltr""><strong id=""docs-internal-guid-c6bb13c9-7fff-8858-d8f1-4c1545c124d5"">Ženské zdraví: každodenní ochrana s anionty. Delikátní a něžné slipové vložky Nefritová svěžest vás spolehlivě ochrání před nepříjemným zápachem, pocitem diskomfortu a dodají závan svěžesti po celý den. </strong><strong id=""docs-internal-guid-4c72a69d-7fff-e67f-f73f-767158d99c4d"">Není to jen obyčejná intimka, je to unikátní hygienický prostředek se zabudovaným aniontovým čipem pro vaše maximální pohodlí a skvělý pocit. </strong><strong id=""docs-internal-guid-c6bb13c9-7fff-8858-d8f1-4c1545c124d5"">Upozornění: nepoužívat v těhotenství.</strong></p>
</div>",,,21,"133,06","161,00",0,"133,0579","133,0579",161,1846,,,Y,,6921336330798,32697,2110,,,,"0,048",,,,01/01/2023,Y,,,,,,,,,,,,,,,,,30,,,,,,denní (intimky),,,,20,"Máta peprná,Zelený čaj,Aniontový čip",,,,,,,Nefritová svěžest,30,https://www.kralovstvi-tiande.cz/data/photos/2023/11/p2156.jpeg,https://www.kralovstvi-tiande.cz/data/photos/2023/11/p2157.jpeg,,,,
61921,Dámské bylinné slipové vložky Nefritová svěžest - super tenké,WMS,,,Zdraví,"Máte aktivní životní styl a nerada přemýšlíte o drobnostech? Super tenké dámské bylinné vložky pro každodenní použití vám umožní se soustředit na to důležité. Lehce se přizpůsobí tvaru vašeho těla a hodí se k prádlu jakéhokoliv střihu. Jsou jemné, jako by byly jen druhou vrstvou vaší kůže. Dodají vám komfort a ochranu na každý den.","<p dir=""ltr""><strong id=""docs-internal-guid-0abf48bb-7fff-23c9-f676-ea6598a54746"">Super tenká ochrana ženského zdraví. Máte aktivní životní styl a nerada přemýšlíte o drobnostech? Super tenké dámské bylinné vložky pro každodenní použití vám umožní se soustředit na to důležité. Lehce se přizpůsobí tvaru vašeho těla a hodí se k prádlu jakéhokoliv střihu. Jsou jemné, jako by byly jen druhou vrstvou vaší kůže. Dodají vám komfort a ochranu na každý den.</strong></p>

<p> </p>",,,21,"135,54","164,00",0,"135,5372","135,5372",164,1531,,,Y,,6921336330804,11542,2226,,,,"0,043",,,,01/01/2023,Y,,,,,,,,,,,,,,,,,30,,,,,,denní (intimky),,,,25,"Hřebíček,Máta peprná,Zelený čaj",,,,,,,Nefritová svěžest,30,https://www.kralovstvi-tiande.cz/data/photos/2023/11/p2408.jpeg,https://www.kralovstvi-tiande.cz/data/photos/2023/11/p2409.jpeg,,,,
30117,Kosmetická fytonáplast Jian Kang,WMS,,,Zdraví,"Bylinným náplastem se v tradiční čínské medicíně přezdívá “suché infuze”. Aktivní látky se přes kůži dostávají přímo do míst, kde cítíte nepohodlí. Fytonáplast Jian Kang může preventivně působit na činnost pohybového aparátu. ","<div> </div>

<div>Nepohodlí v kloubech? Neignorujte jej! Využijte východní moudrost prověřenou staletími i moderní vědecké znalosti, které jsme spojili ve speciálních fytonáplastech.</div>

<div> </div>",,,21,"139,67","169,00",0,"139,6694","139,6694",169,1659,,,Y,,6945296003011,33823,3158,,,,"0,017",,,,01/01/2023,Y,,,,,,,,,,,,,,,,,40,,,,,,,,,,1,"Angelica,Děhel,Hloh,Hřebíček,Kafr,Libeček lékařský,Mentol,Olej ze světlice,Paprika setá,Rebarbora,Sečuánský pepř,Skořicovník,Zázvor",,,,,,,,40,https://www.kralovstvi-tiande.cz/data/photos/2023/11/p2391.jpeg,https://www.kralovstvi-tiande.cz/data/photos/2023/11/p2392.jpeg,,,,
30118,Kosmetická fytonáplast Wutong,WMS,,,Muži,"Wutong v překladu z čínštiny znamená „bez bolesti“. Účinkuje jemně a přitom intenzivně, pomůže vám navrátit radost z volnosti pohybu.","<p>Komponenty obsažené ve složení náplasti mají přirozené absorpční schopnosti a silný antioxidační účinek. Zlepšují prokrvení pokožky, odstraňují toxiny. To pomáhá zmírnit únavu a svalové napětí, přispívá ke zlepšení spánku a zvýšení celkového tonusu organismu.<br />
 </p>",,,21,"139,67","169,00",0,"139,6694","139,6694",169,2043,,,Y,,6945296003004,46386,3160,,,,"0,014",,,,01/01/2023,Y,,,,,,,,,,,,,,,,,20,,,,,,,,,,1,"Amarylka krásná,Děhel,Hřebíček,Kadidlo,Kafr,Kakost,Lindera,Maraba galangová,Mentol,Mentol,Methylsalicylát,Muškátová růže,Myrhovník,Oměj,Pupečník asijský,Saposhnikovia,Schizonepeta,Skořicovník,Zázvor",,,,,,,,20,https://www.kralovstvi-tiande.cz/data/photos/2023/11/p2396.jpeg,https://www.kralovstvi-tiande.cz/data/photos/2023/11/p2397.jpeg,,,,
41328/05,Levandulová náplast na nohy,WMS,,,Zdraví,"Cítíte se unaveně hned po probuzení nebo se během dne rychle unavíte? Vypadá to, že příznaky nachlazení a alergie jsou stále častější? Zhoršil se stav vaší pokožky a vlasů? Těžkost celého těla, slabost, únava, ztráta chuti k jídlu, podrážděnost – to je jen část příznaků intoxikace. Vaše tělo potřebuje očistu. ","<p>Levandulová náplast na nohy od tianDe je kombinací staletých čínských tradic a moderního výzkumu. Aktivní složky náplasti:</p>

<div>
<ul>
	<li>
	<p>působí na akupunkturní body umístěné na chodidle, které pomáhají očistit organismus</p>
	</li>
	<li>
	<p>aktivují proces vylučování nahromaděných škodlivých látek</p>
	</li>
	<li>
	<p>pomáhají zmírnit pocit napětí, únavy a diskomfortu a zbavit pocitu „těžkých nohou“</p>
	</li>
</ul>
</div>",,,21,"566,12","685,00",0,"79,2562","566,1157",685,200,,,Y,,4896584759652,24502,3162,,,,"0,025",,,,01/01/2023,Y,N,,,,,,,,,,,,,5ks,,,20,,,,,,,,,,2,"Bambusový ocet,Dextrin,Chitin,Chitosan,Levandule,Turmalín,vitamín C",,,,,,,Master Herb,20,https://www.kralovstvi-tiande.cz/data/photos/2023/11/p2400.jpeg,https://www.kralovstvi-tiande.cz/data/photos/2023/11/p2401.jpeg,,,,
41328/01,Levandulová náplast na nohy,WMS,,,Zdraví,"Cítíte se unaveně hned po probuzení nebo se během dne rychle unavíte? Vypadá to, že příznaky nachlazení a alergie jsou stále častější? Zhoršil se stav vaší pokožky a vlasů? Těžkost celého těla, slabost, únava, ztráta chuti k jídlu, podrážděnost – to je jen část příznaků intoxikace. Vaše tělo potřebuje očistu. ","<p>Levandulová náplast na nohy od tianDe je kombinací staletých čínských tradic a moderního výzkumu. Aktivní složky náplasti:</p>

<div>
<ul>
	<li>
	<p>působí na akupunkturní body umístěné na chodidle, které pomáhají očistit organismus</p>
	</li>
	<li>
	<p>aktivují proces vylučování nahromaděných škodlivých látek</p>
	</li>
	<li>
	<p>pomáhají zmírnit pocit napětí, únavy a diskomfortu a zbavit pocitu „těžkých nohou“</p>
	</li>
</ul>
</div>",,,21,"113,22","137,00",0,"79,2562","113,2231",137,0,,,Y,,333,24502,3162,,,,"0,025",,,,01/01/2023,Y,N,,,,,,,,,,,,,1ks,,,20,,,,,,,,,,2,"Bambusový ocet,Dextrin,Chitin,Chitosan,Levandule,Turmalín,vitamín C",,,,,,,Master Herb,20,https://www.kralovstvi-tiande.cz/data/photos/2023/11/p2400.jpeg,https://www.kralovstvi-tiande.cz/data/photos/2023/11/p2401.jpeg,,,,
41328/01,Levandulová náplast na nohy,,,,,,,,,21,"1,27","1,54",0,"1,271","1,2727","1,54",0,,,Y,,6970757000353,,5788,,,,0,,,,01/01/2023,N,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,"0,0,0","0,0,0",,0,0,25,,,,,0,,,,,,
61911-01,Denní vložky s extraktem aloe Nefritová svěžest,,,,,,"<div>Každodenní pocit komfortu v samostatném balení</div>

<div>Obsahuje přírodní bylinné výtažky. Spolehlivě zamezuje zápachu. Daruje pocit svěžesti a komfortu.</div>

<div>Upozornění: nepoužívejte v těhotenství.</div>",,,21,"1,27","1,54",0,"0,8926","1,2727","1,54",0,,,Y,,6921336301057,,6031,,,,0,,,,01/01/2023,N,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,"0,0,0","0,0,0",,0,0,2,,,,,0,,,,,,
61923,"Ultra tenké slipové vložky Nebeská bavlna, 20 ks",WMS,,,Zdraví/Vložky a intimní hygiena,Svěžest a pohodlí na každý den. Vložky Nebeská bavlna jsou vhodné pro citlivou pokožku se sklonem k podráždění. Pro dívky i ženy – zkrátka pro všechny.,"<p>Ultra tenké slipové vložky Nebeská bavlna se o vás postarají každý den a ani si jich nevšimete.</p>

<p>- Ultra tenká, neviditelná a spolehlivá ochrana na každý den.<br />
- Prodyšný, měkký a příjemný bavlněný povrch.<br />
- Ideální hygiena bez „skleníkového efektu“.<br />
- Podpora optimální hladiny pH v intimní oblasti.<br />
- Nepropustné okraje a speciální vzor pro zvýšenou ochranu.<br />
- Pórovitá textura vrchní vrstvy pro lepší savost a prodyšnost.</p>

<p>Vhodné na každý den nebo na poslední dny menstruace.</p>",,,21,"123,97","150,00",0,"123,9669","123,9669",150,1491,,,Y,,6972325311687,5635,6965,,,,,,,,04/07/2024,Y,,,,,,,,,,,,,,,,,30,,,,,,denní (intimky),,,,20,Bavlna,,,,,,,Nefritová svěžest,30,https://www.kralovstvi-tiande.cz/data/photos/2024/07/p6119.jpeg,https://www.kralovstvi-tiande.cz/data/photos/2024/07/p6157.jpeg,,,,
